,nom_commune_postal,code_postal,latitude,longitude,code_departement,score
31673,FONTENAY LE FLEURY,78330,48.8177984988,2.04662335413,78,1
31674,FONTENAY MAUVOISIN,78200,48.9610924482,1.64777778517,78,0
31675,FONTENAY ST PERE,78440,49.0279919911,1.75448471704,78,0
31676,FOURQUEUX,78112,48.8853336012,2.05562938511,78,0
31677,FRENEUSE,78840,49.0495054013,1.61035317023,78,0
31678,GAILLON SUR MONTCIENT,78250,49.0298577394,1.89797446964,78,0
31679,GALLUIS,78490,48.7975623096,1.79110153574,78,0
31680,GAMBAIS,78950,48.7796089951,1.67651742335,78,0
31681,GAMBAISEUIL,78490,48.7565484282,1.72527322588,78,1
31682,GARANCIERES,78890,48.8236041214,1.75831799114,78,0
31683,GARGENVILLE,78440,48.9931450718,1.81069376214,78,1
31684,GAZERAN,78125,48.6334275463,1.77758974594,78,0
31685,GOMMECOURT,78270,49.0711557318,1.5943070354,78,1
31686,GOUPILLIERES,78770,48.8811163086,1.76679868988,78,0
31687,GOUSSONVILLE,78930,48.9235015144,1.76677229339,78,1
31688,GRANDCHAMP,78113,48.7197572172,1.61429077254,78,0
31689,GRESSEY,78550,48.8328470856,1.60339390976,78,1
31690,GROSROUVRE,78490,48.7803262238,1.75722546892,78,0
31691,GUERNES,78520,49.0153671856,1.64238528866,78,0
31692,GUERVILLE,78930,48.9523717718,1.74080558769,78,1
31693,GUITRANCOURT,78440,49.0075668772,1.77906463847,78,1
